lo,hi,n,mean,std,sharpe,win_rate
0.54,0.58,262,0.007532910883666231,0.8866453919403796,0.008495968007210671,0.5687022900763359
0.86,0.88,34,0.0023662879191207855,0.36970938693904826,0.006400399888983346,0.8823529411764706
0.84,0.88,63,0.0024378714142807355,0.3863858445155611,0.006309422171863632,0.873015873015873
0.54,0.6,361,0.005434690865660006,0.8719012542161233,0.006233149498730824,0.5761772853185596
0.82,1.0,530,0.0008054799170098049,0.20944867413080132,0.003845715043804862,0.5773584905660377
0.5,0.62,766,0.001905547302780611,0.9080261109809832,0.0020985600300876357,0.556135770234987
0.82,0.94,173,0.0006635543017640909,0.35769064552748936,0.0018551066684607922,0.8901734104046243
0.58,0.6,99,-0.00011817423249785213,0.8315955172131018,-0.00014210542271065322,0.5959595959595959
0.8,0.98,311,-0.0002793718680310617,0.33097826233212657,-0.0008440792034575387,0.9067524115755627
0.52,0.64,663,-0.002288895045541482,0.8681520118655202,-0.0026365141291592605,0.5761689291101055
0.5,0.64,856,-0.006445360907677916,0.8956836029543734,-0.00719602422821873,0.5595794392523364
0.8,0.96,249,-0.004848720039965297,0.36974333407047266,-0.013113745653197189,0.8835341365461847
0.8,1.0,573,-0.004011413815892335,0.24747548593977117,-0.016209338071038696,0.5916230366492147
0.52,0.66,731,-0.014073447977831444,0.8594369490456091,-0.016375195403757984,0.5759233926128591
0.7,0.72,59,-0.010659346126671626,0.6358621672596271,-0.016763611165309885,0.711864406779661
0.5,0.66,924,-0.015462534625079096,0.8869703793814046,-0.017432977452824364,0.5606060606060606
0.5,0.52,219,-0.02401685626382787,0.9816476796553989,-0.024465861593294686,0.502283105022831
0.8,0.94,216,-0.012086340640353329,0.39647702942435886,-0.030484340184603807,0.8657407407407407
0.54,0.62,446,-0.027336280712038308,0.8638623937730341,-0.031644253655542826,0.5650224215246636
0.5,0.68,983,-0.029930625947805812,0.8807492733262926,-0.03398314009930198,0.5574771108850458
0.82,0.92,141,-0.013520106445716744,0.3948196954555296,-0.03424374873223511,0.8652482269503546
0.52,0.68,790,-0.03217989086698079,0.8535349756054592,-0.03770190066804682,0.5708860759493671
0.5,0.74,1176,-0.03248402229765878,0.847023390281118,-0.03835079723935095,0.5790816326530612
0.5,0.76,1241,-0.03224983162458273,0.8353225546113167,-0.03860763898514494,0.5874294923448832
0.82,0.9,116,-0.016161963532475697,0.4127468840358215,-0.03915708187653582,0.853448275862069
0.56,0.6,241,-0.03446022646512934,0.8575867659583142,-0.0401827871336396,0.5643153526970954
0.7,0.78,248,-0.024170336323099555,0.600744508945349,-0.040233969621349265,0.7298387096774194
0.7,1.0,880,-0.016960183798863184,0.40520079987296187,-0.041856244617928993,0.6386363636363637
0.5,1.0,1928,-0.029339082252330277,0.6990030778235938,-0.041972751169680154,0.5949170124481328
0.54,0.64,536,-0.035762797329237574,0.8504401855364825,-0.04205210188495192,0.5690298507462687
0.52,0.74,983,-0.03479299969508484,0.8173526816164501,-0.04256791526795499,0.5940996948118006
0.7,0.98,618,-0.020571693005584073,0.48177745767817903,-0.04269957566035747,0.8171521035598706
0.52,0.76,1048,-0.034372470920161116,0.8048725202798402,-0.04270548447623781,0.6030534351145038
0.5,0.98,1666,-0.03262550727307571,0.7515027770243102,-0.04341368823979783,0.6542617046818727
0.5,0.72,1107,-0.03818400204242712,0.8612924439284035,-0.04433337632484935,0.5663956639566395
0.5,0.78,1296,-0.03675542611699219,0.8272220615963519,-0.04443235719084004,0.5910493827160493
0.5,0.96,1604,-0.034585125783003635,0.7658209110780801,-0.04516085325264443,0.6408977556109726
0.72,1.0,821,-0.017412984557278896,0.38331163865405077,-0.04542774808096706,0.633373934226553
0.5,0.7,1048,-0.039733577136920974,0.8722272194374509,-0.04555415865437842,0.558206106870229
0.52,1.0,1735,-0.03029744038081526,0.6596810648638719,-0.04592740643096565,0.6051873198847262
0.72,0.98,559,-0.02161789777455694,0.46251693901363694,-0.046739688757473925,0.8282647584973166
0.5,0.94,1571,-0.036204875903439085,0.7737393890897516,-0.04679208065913705,0.6333545512412476
0.78,0.98,370,-0.018159629376546665,0.38180444587559137,-0.047562645151764074,0.8756756756756757
0.52,0.98,1473,-0.03418493115761428,0.7153984393637511,-0.047784464260247884,0.6741344195519349
0.78,1.0,632,-0.014130883441251445,0.29490802733826854,-0.0479162387297206,0.6028481012658228
0.74,0.76,65,-0.02801278190862237,0.5844659100777644,-0.047928855089076475,0.7384615384615385
0.72,0.78,189,-0.028388052839444795,0.5892899945773403,-0.04817331551642195,0.7354497354497355
0.5,0.92,1539,-0.038270948633758316,0.7816075013005261,-0.048964408056574205,0.6257309941520468
