slug,question,age_h,volume,y_bid,y_ask,n_bid,n_ask,ask_sum,bid_sum,buy_arb_gross,buy_arb_net,sell_arb_gross,max_pair_size,end_date
bnb-updown-5m-1776836700,"BNB Up or Down - April 22, 1:45AM-1:50AM ET",0.35,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:50:00Z
hype-updown-5m-1776836700,"Hyperliquid Up or Down - April 22, 1:45AM-1:50AM ET",0.35,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,47.0,2026-04-22T05:50:00Z
sol-updown-15m-1776836700,"Solana Up or Down - April 22, 1:45AM-2:00AM ET",0.35,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,1337.0,2026-04-22T06:00:00Z
doge-updown-5m-1776836700,"Dogecoin Up or Down - April 22, 1:45AM-1:50AM ET",0.35,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:50:00Z
btc-updown-5m-1776836700,"Bitcoin Up or Down - April 22, 1:45AM-1:50AM ET",0.35,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,130.74,2026-04-22T05:50:00Z
xrp-updown-5m-1776836400,"XRP Up or Down - April 22, 1:40AM-1:45AM ET",0.44,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:45:00Z
doge-updown-5m-1776836400,"Dogecoin Up or Down - April 22, 1:40AM-1:45AM ET",0.44,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:45:00Z
btc-updown-5m-1776836400,"Bitcoin Up or Down - April 22, 1:40AM-1:45AM ET",0.44,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,146.08,2026-04-22T05:45:00Z
eth-updown-5m-1776836400,"Ethereum Up or Down - April 22, 1:40AM-1:45AM ET",0.44,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,15.0,2026-04-22T05:45:00Z
hype-updown-5m-1776836400,"Hyperliquid Up or Down - April 22, 1:40AM-1:45AM ET",0.44,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,47.0,2026-04-22T05:45:00Z
sol-updown-5m-1776836400,"Solana Up or Down - April 22, 1:40AM-1:45AM ET",0.44,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:45:00Z
bnb-updown-5m-1776836400,"BNB Up or Down - April 22, 1:40AM-1:45AM ET",0.44,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:45:00Z
bnb-updown-5m-1776836100,"BNB Up or Down - April 22, 1:35AM-1:40AM ET",0.53,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:40:00Z
hype-updown-5m-1776836100,"Hyperliquid Up or Down - April 22, 1:35AM-1:40AM ET",0.53,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,47.0,2026-04-22T05:40:00Z
sol-updown-5m-1776836100,"Solana Up or Down - April 22, 1:35AM-1:40AM ET",0.53,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:40:00Z
eth-updown-5m-1776836100,"Ethereum Up or Down - April 22, 1:35AM-1:40AM ET",0.53,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,10.0,2026-04-22T05:40:00Z
btc-updown-5m-1776836100,"Bitcoin Up or Down - April 22, 1:35AM-1:40AM ET",0.53,0.0,0.5,0.51,0.49,0.5,1.01,0.99,-0.01,-0.0252,-0.01,125.79,2026-04-22T05:40:00Z
xrp-updown-5m-1776836100,"XRP Up or Down - April 22, 1:35AM-1:40AM ET",0.53,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,532.0,2026-04-22T05:40:00Z
doge-updown-5m-1776836100,"Dogecoin Up or Down - April 22, 1:35AM-1:40AM ET",0.53,0.0,0.49,0.51,0.49,0.51,1.02,0.98,-0.02,-0.0353,-0.02,452.0,2026-04-22T05:40:00Z
ethereum-above-2390-on-april-21-2026-3am-et,"Ethereum above 2,390 on April 21, 3AM ET?",0.56,100.0,0.0,0.011,0.989,0.0,,,,,,0.0,2026-04-21T07:00:00Z
ethereum-above-2375-on-april-21-2026-3am-et,"Ethereum above 2,375 on April 21, 3AM ET?",0.56,100.0,0.0,0.039,0.961,0.0,,,,,,0.0,2026-04-21T07:00:00Z
ethereum-above-2360-on-april-21-2026-3am-et,"Ethereum above 2,360 on April 21, 3AM ET?",0.56,74.0,0.002,0.044,0.956,0.998,1.042,0.958,-0.042,-0.0576,-0.042,74.0,2026-04-21T07:00:00Z
ethereum-above-2345-on-april-21-2026-3am-et,"Ethereum above 2,345 on April 21, 3AM ET?",0.56,0.0,0.002,0.046,0.954,0.998,1.044,0.956,-0.044,-0.0597,-0.044,144.0,2026-04-21T07:00:00Z
ethereum-above-2330-on-april-21-2026-3am-et,"Ethereum above 2,330 on April 21, 3AM ET?",0.56,0.0,0.002,0.054,0.946,0.998,1.052,0.948,-0.052,-0.0678,-0.052,20.29,2026-04-21T07:00:00Z
